FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
2010-10-28;17:43:48;9,534;-73,345;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;140;5,2;7,5;11,2;Revisado
2010-10-29;17:46:40;9,542;-73,428;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.60;268;16,9;12,3;16,1;Revisado
2010-10-31;17:43:07;9,495;-73,418;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;140;5,1;6,5;9,5;Revisado
2010-11-03;17:48:53;9,446;-73,404;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;144;4,7;6,4;7,4;Revisado
2010-11-06;17:57:42;9,523;-73,374;0;2,8;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;140;7,6;8,4;12,9;Revisado
2010-11-10;17:47:38;9,476;-73,709;2,2;2;;CESAR;CHIRIGUANA;4; 0.10;235;6,8;66,7;29,3;Revisado
2010-11-18;17:42:16;9,49;-73,381;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;139;5,5;7,1;9,4;Revisado
2010-11-19;17:45:16;9,474;-73,461;2;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;141;4,3;6,8;11,1;Revisado
2010-11-29;17:53:11;9,435;-73,559;0;2,1;;CESAR;CHIRIGUANA;5; 0.50;261;30,6;19,5;17,1;Revisado
2010-12-11;17:48:03;9,502;-73,512;0;2,1;;CESAR;CHIRIGUANA;4; 0.50;265;12,6;10,3;11,6;Revisado
2010-12-19;17:47:45;9,488;-73,375;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.70;139;13,4;13,9;26,8;Revisado
2010-12-28;17:42:38;9,472;-73,542;0,5;2,6;;CESAR;CHIRIGUANA;6; 0.60;143;7,2;8,1;10,8;Revisado
2011-01-11;17:52:35;9,516;-73,374;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;269;15,5;12,4;14,2;Revisado
2011-01-12;17:47:29;9,54;-73,371;0;2,6;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;270;16,7;13,3;15,3;Revisado
2011-01-13;17:55:22;9,447;-73,387;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;138;7,1;10,3;10,9;Revisado
2011-01-14;17:47:44;9,618;-73,349;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;215;12,4;8,3;18,6;Revisado
2011-01-16;22:47:28;9,634;-73,372;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.40;216;7,7;8;12,6;Revisado
2011-01-19;17:44:25;9,409;-73,512;0;2,4;;CESAR;CHIRIGUANA;4; 0.60;207;10,9;9,8;17,6;Revisado
2011-01-21;17:42:02;9,65;-73,476;0,4;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.40;147;6,5;5,8;11,1;Revisado
2011-01-25;17:46:16;9,445;-73,355;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;267;21,7;14,7;14,5;Revisado
2011-01-28;17:45:02;9,491;-73,464;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.80;266;24,8;34,7;26,3;Revisado
2011-02-06;17:45:31;9,461;-73,448;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.50;209;9,7;7,4;12,7;Revisado
2011-02-11;17:43:49;9,573;-73,382;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;270;19,9;14,1;14;Revisado
2011-02-16;17:46:36;9,445;-73,427;10;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.20;265;7,4;4,5;8,5;Revisado
2011-02-27;17:48:13;9,47;-73,577;0;2,6;;CESAR;CHIRIGUANA;6; 0.30;234;9,6;12,8;13,7;Revisado
2011-03-01;17:44:49;9,512;-73,647;0;2,7;;CESAR;CHIRIGUANA;5; 0.50;261;11,6;19,3;15;Revisado
2011-03-04;17:48:50;9,646;-73,311;1,3;2,6;;CESAR;BECERRIL;6; 0.20;274;5,1;5,7;6,7;Revisado
2011-03-10;17:46:31;9,464;-73,622;0;2,7;;CESAR;CHIRIGUANA;6; 0.30;234;17,2;11,7;13,6;Revisado
2011-04-07;17:42:08;9,818;-73,402;1,8;2,6;;CESAR;BECERRIL;5; 0.40;223;15;7,5;11,8;Revisado
2011-04-18;17:47:38;9,528;-73,519;1,5;2,8;;CESAR;CHIRIGUANA;5; 0.40;266;14,9;15,1;13,9;Revisado
2011-04-19;17:31:21;9,478;-73,631;0;2,1;;CESAR;CHIRIGUANA;4; 0.50;347;41,7;90,4;88,5;Revisado
2011-04-19;17:45:31;9,439;-73,557;0;2,2;;CESAR;CHIRIGUANA;4; 0.60;262;18;12,3;18;Revisado
2011-04-22;17:45:40;9,464;-73,616;0;2,4;;CESAR;CHIRIGUANA;6; 0.60;331;20,9;35,3;27,8;Revisado
