FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
2016-02-10;17:45:09;9,525;-73,504;1,2;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;170;4,6;4,3;7,1;Revisado
2016-02-12;17:50:27;9,578;-73,601;0;1,9;;CESAR;EL_PASO;4; 0.70;218;5,4;10,3;9,9;Revisado
2016-02-13;17:16:09;9,586;-73,347;0;1,9;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.50;161;3,6;5,2;8;Revisado
2016-02-13;19:59:11;9,563;-73,604;0;1,9;;CESAR;EL_PASO;5; 0.40;218;3,1;4,2;3,9;Revisado
2016-02-20;21:51:57;9,593;-73,57;0;2;;CESAR;EL_PASO;4; 0.70;216;4,3;16,6;9,8;Revisado
2016-03-05;20:07:56;9,572;-73,467;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.80;111;4,2;5,2;9,3;Revisado
2016-03-24;17:28:10;9,734;-73,446;0;2;;CESAR;BECERRIL;7; 0.70;108;3,3;6,3;8,5;Revisado
2016-03-27;18:09:55;9,629;-73,445;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;116;7,1;5,2;8,3;Revisado
2016-06-19;07:35:07;9,384;-73,325;5,6;1,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.20;165;1,5;2,2;3,8;Revisado
2016-09-20;12:16:39;9,854;-73,668;11,4;1,4;;CESAR;EL_PASO;4; 0.20;164;5,3;1,2;3,7;Revisado
2016-09-29;17:25:35;9,703;-73,319;0;1,8;;CESAR;BECERRIL;10; 0.70;147;5,5;6,1;9,2;Revisado
2016-12-22;05:24:10;9,541;-73,664;3,5;1,3;;CESAR;EL_PASO;4; 0.40;220;11,4;1,5;6,8;Revisado
2017-01-15;22:48:30;9,591;-73,365;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;131;3,7;6,5;7,9;Revisado
2017-02-03;22:53:00;9,627;-73,439;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;10; 0.50;105;2,8;3,6;3,8;Revisado
2017-04-19;17:29:12;9,755;-73,538;0;2,1;;CESAR;EL_PASO;6; 0.70;123;4,7;5,6;8,7;Revisado
2017-05-28;17:29:13;9,612;-73,397;0;1,7;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.80;166;8;5,9;12,4;Revisado
2017-07-02;22:46:10;9,622;-73,308;0;2;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.60;171;4,6;6,1;5,8;Revisado
2017-08-16;14:57:28;9,552;-73,397;10,6;1,4;;CESAR;LA_JAGUA_DE_IBIRICO;7; 0.70;128;4,7;3,8;6,2;Revisado
2017-10-01;17:19:19;9,653;-73,342;0;2;;CESAR;BECERRIL;8; 0.60;132;3,2;3,9;6,7;Revisado
2017-10-08;08:30:56;9,648;-73,628;16;1,2;;CESAR;EL_PASO;6; 0.70;203;7,7;3,5;6,1;Revisado
2017-10-11;16:56:31;9,742;-73,511;0;1,8;;CESAR;BECERRIL;5; 0.70;124;4,6;4;9;Revisado
2017-10-19;17:34:44;9,875;-73,523;0;1,9;;CESAR;BECERRIL;4; 0.40;133;3;2,5;5,5;Revisado
2017-11-01;17:31:53;9,876;-73,56;0;1,9;;CESAR;EL_PASO;6; 0.60;121;4;3,5;7,7;Revisado
2017-11-01;22:47:39;9,637;-73,459;0;1,8;;CESAR;LA_JAGUA_DE_IBIRICO;8; 0.70;127;3,3;3,2;5,8;Revisado
2017-11-06;17:30:51;9,85;-73,493;0;2,1;;CESAR;BECERRIL;11; 0.70;124;2,9;3,8;6;Revisado
2018-01-02;02:40:24;9,855;-73,52;8;1,1;;CESAR;BECERRIL;9; 0.40;110;1,9;2;5,2;Revisado
2018-02-13;05:08:09;9,861;-73,621;13;0,9;;CESAR;EL_PASO;7; 0.30;122;2,2;1,7;3,2;Revisado
